time,month,day,hour,storm_id,area,bounds,clon,clat,PS_u,PS_v,tmin,rain_vol,rain_max,tmean,tminlat,tminlon
2006-08-17 17:00:00,8,17,17,37,5771.0,"1985,414,96,95",367.50625,4.961250000000001,-4.275,1.65,198.89,45242.44244459433,91.12019039118272,215.24,5.13675,367.72225000000003
2006-08-17 18:00:00,8,17,18,35,7496.0,"2027,737,146,76",368.23525,9.45675,-4.005,-3.285,197.4,18285.50916183395,52.75311256348929,216.51,9.32175,368.04625
2006-08-17 18:00:00,8,17,18,42,1407.0,"2516,308,55,38",374.35075,3.92175,-7.845000000000001,0.675,218.68,1297.6467864462911,29.60565917746297,230.62,3.9892499999999997,374.32375
2006-08-17 18:00:00,8,17,18,39,5483.0,"2068,803,172,53",369.03175,10.52325,-7.86,-8.76,199.05,4047.27366804262,15.12864351100218,215.77,10.41525,368.47825
2006-08-17 18:00:00,8,17,18,38,2354.0,"866,592,68,50",352.14325,7.63425,-7.125,0.975,212.01,3856.274124690755,9.566999621370377,226.11,7.67475,351.95425
2006-08-17 18:00:00,8,17,18,37,9167.0,"1962,430,119,118",367.35775,5.00175,-6.465,0.3,198.64,43039.881305968775,125.34329989793908,215.71,5.55525,367.69525
2006-08-17 18:00:00,8,17,18,45,46409,"2832,187,454,187",380.72275,0.97875,-0.675,0.18,197.76,42985.05873445163,59.2185773819558,216.04,0.14175000000000001,382.47775
2006-08-17 18:00:00,8,17,18,46,1048,"702,597,41,36",349.72675000000004,7.82325,-3.1049999999999995,-4.14,209.49,5341.528688585468,26.253112895349407,219.74,7.71525,349.61875000000003
2006-08-17 18:00:00,8,17,18,40,9624.0,"2097,957,164,90",369.53125,12.33225,-5.985,-17.88,196.38,8952.435025591196,42.59819469554355,211.2,12.23775,369.46375
2006-08-17 18:00:00,8,17,18,33,33672.0,"2964,1025,287,232",381.97825,12.17025,-1.275,1.44,197.39,32379.2267858804,42.4181774962726,221.85,11.46825,383.80075
2006-08-17 18:00:00,8,17,18,43,3511.0,"610,711,110,55",348.93025,9.25425,1.6949999999999998,-7.935,207.73,3807.674138092104,19.43128251639408,220.61,9.28125,348.97075
2006-08-17 18:00:00,8,17,18,47,1544,"1611,1191,53,42",362.14675,15.78825,0.045,-0.045,214.63,16.921590364064617,0.0010548561301082,224.53,15.72075,362.20075
2006-08-17 18:00:00,8,17,18,41,6812.0,"1830,1148,103,97",365.41375,14.81625,1.08,2.1,211.6,6513.079931772889,16.76761033966615,222.84,14.74875,365.48125
2006-08-17 18:00:00,8,17,18,44,6152.0,"2154,1041,105,85",369.84175,13.52025,-2.925,-10.68,196.08,17317.677226044387,31.691833067630125,211.46,13.30425,370.21975000000003
2006-08-17 18:00:00,8,17,18,34,3570.0,"3198,220,77,86",383.69275,2.3692499999999996,-34.905,11.73,224.01,0.2316520132289818,0.0018095494659548,233.84,2.3557499999999996,384.01675
2006-08-17 18:00:00,8,17,18,20,3026.0,"2634,55,108,47",376.30825,0.45225,0.0,0.0,224.22,1.318545986023655e-07,0.0,234.11,0.15525,376.49725
2006-08-17 18:00:00,8,17,18,30,33010.0,"2726,768,313,166",378.57625,9.29475,-3.06,3.735,203.32,60424.82100385222,51.54293903486837,215.53,9.37575,378.85975
2006-08-17 18:00:00,8,17,18,1,69404.0,"2702,690,597,524",379.58875,6.108750000000001,-5.055,-1.47,207.83,36165.09998957408,34.119923918361586,226.22,9.32175,378.85975
2006-08-17 18:00:00,8,17,18,17,892.0,"438,526,44,52",346.23025,6.78375,-11.25,0.12,234.2,50.74200502798223,0.0238448275073622,237.59,6.75675,346.09525
